Dimensions,Runtime of Generator (s),Runtime of Solver (s),Peak Memory Usage During Maze Generation (MiB),Peak Memory Usage During Maze Solving (MiB)
5x5,0.818162500159815,0.5059340000152588,23.328125,23.34765625
10x10,0.8106996999122202,0.4793817999307066,23.375,23.3828125
15x15,0.8211376999970526,0.47325489996001124,23.43359375,23.4453125
20x20,0.8186735999770463,0.49715629988349974,23.50390625,23.56640625
25x25,0.8310481000225991,0.4943848999682814,23.6015625,23.6328125
30x30,0.6929844999685884,0.49861070001497865,23.76171875,23.85546875
35x35,0.8304695000406355,0.5201117999386042,23.91796875,24.03125
40x40,0.8225831999443471,0.5126267999876291,24.1328125,24.29296875
45x45,0.4979209001176059,0.4050410999916494,24.3984375,24.6953125
50x50,0.715293199988082,0.5395817998796701,24.7578125,24.8203125
55x55,0.5192762999795377,0.5659172001760453,24.921875,25.30859375
60x60,0.8541841998230666,0.5186771999578923,24.9375,25.390625
65x65,0.8104034001007676,0.42106320010498166,25.5390625,25.80859375
70x70,0.7253985002171248,0.4353926000185311,25.35546875,26.1328125
75x75,0.8221409001853317,0.33935829997062683,25.69140625,27.06640625
80x80,0.7413776000030339,0.4611418000422418,26.3984375,27.13671875
85x85,0.523841799935326,0.3335907000582665,26.4609375,27.49609375
90x90,0.5134402997791767,0.4549628999084234,26.8515625,27.640625
95x95,0.6351774998474866,0.30097310012206435,27.234375,28.20703125
100x100,0.8538361999671906,0.3411336001008749,27.5546875,28.765625
150x150,0.6604102000128478,0.46638679993338883,32.07421875,36.47265625
200x200,0.9169300000648946,0.6053938001859933,38.30859375,44.17578125
250x250,1.0563291001599282,0.6123866999987513,46.3046875,58.7109375
300x300,0.42179950000718236,0.5552503000944853,58.0,73.38671875
350x350,0.5158629999496043,1.2930417000316083,70.44140625,97.83984375
400x400,0.6692339999135584,1.0842738000210375,84.4140625,108.98828125
450x450,0.7693698999937624,1.4099546000361443,101.87109375,140.93359375
500x500,0.9583382999990135,2.7708056000992656,119.0703125,181.8515625
550x550,1.1332928999327123,2.025219300063327,139.09765625,190.7578125
600x600,1.2886920000892133,3.4187944000586867,163.4140625,252.80078125
650x650,1.4970223000273108,4.0018676000181586,187.1171875,285.2734375
700x700,1.7973904001992196,3.476736699929461,212.4921875,306.44140625
750x750,1.9753237999975681,4.015227299882099,242.4375,341.390625
800x800,2.231837200000882,3.000535099999979,270.58203125,359.44140625
850x850,2.5073374998755753,4.41633060015738,301.8203125,448.1875
900x900,2.83756579994224,7.338419900042936,336.44921875,530.421875
950x950,3.1894789999350905,3.343088300200179,372.26171875,510.7578125
1000x1000,3.5327656001318246,8.88225629995577,412.03515625,643.25
2000x2000,13.905293899821118,43.19920320017263,1582.65234375,2597.06640625
3000x3000,31.140968000050634,76.4368422999978,3535.34375,5275.2109375
4000x4000,55.63788430020213,132.0898708999157,6270.90234375,8997.734375
5000x5000,86.34694299986586,145.33648890000768,9735.33984375,11429.875
6000x6000,128.89413039991632,673.9308185998816,11604.37890625,12071.48828125
7000x7000,197.61806240002625,1440.1006370999385,11746.71484375,11838.1015625
8000x8000,300.9277321998961,1801.675544400001,11808.54296875,11777.93359375
9000x9000,426.7243346001487,2078.52901620022,12320.2890625,11731.46484375
